fname,label
5388d14d.wav,Saxophone
c685f05f.wav,Saxophone
36d20ab5.wav,Saxophone
d6665734.wav,Saxophone
7352e28f.wav,Saxophone
8fa096bf.wav,Saxophone
2f9c5f62.wav,Saxophone
9cd05a2b.wav,Saxophone
ab465bf9.wav,Saxophone
c40632d7.wav,Saxophone
3a80061f.wav,Saxophone
dba6817d.wav,Saxophone
25f26095.wav,Saxophone
37cebbd4.wav,Saxophone
f8d96888.wav,Saxophone
d94c94f0.wav,Saxophone
ec6afeb6.wav,Saxophone
5f0dc8e4.wav,Saxophone
b8c0a88a.wav,Saxophone
96dad435.wav,Saxophone
b120dc90.wav,Saxophone
c1948f24.wav,Saxophone
ac097834.wav,Saxophone
4345851e.wav,Saxophone
5d4f8187.wav,Saxophone
b83049f4.wav,Saxophone
c1c3c8b9.wav,Saxophone
78a86075.wav,Saxophone
f0d315bc.wav,Saxophone
9c0838c1.wav,Saxophone
d6144e01.wav,Violin_or_fiddle
cfb9c5fd.wav,Violin_or_fiddle
c6865306.wav,Violin_or_fiddle
642aba58.wav,Violin_or_fiddle
848faca3.wav,Violin_or_fiddle
7eb9dac0.wav,Violin_or_fiddle
8d7d7dba.wav,Violin_or_fiddle
2424ad60.wav,Violin_or_fiddle
ba648ac1.wav,Violin_or_fiddle
2e4a9850.wav,Violin_or_fiddle
2cc8683d.wav,Violin_or_fiddle
7b6a119e.wav,Violin_or_fiddle
68589f79.wav,Violin_or_fiddle
fec00143.wav,Violin_or_fiddle
1b24c166.wav,Violin_or_fiddle
6eb59008.wav,Violin_or_fiddle
0e7cd4eb.wav,Violin_or_fiddle
56e79c6f.wav,Violin_or_fiddle
cdc5fe8e.wav,Violin_or_fiddle
b38409bb.wav,Violin_or_fiddle
c8c117dc.wav,Violin_or_fiddle
b73c3595.wav,Violin_or_fiddle
d84c8c43.wav,Violin_or_fiddle
d914225a.wav,Violin_or_fiddle
1148986e.wav,Violin_or_fiddle
e3f479f3.wav,Violin_or_fiddle
aab28420.wav,Violin_or_fiddle
21346775.wav,Violin_or_fiddle
cdeece57.wav,Violin_or_fiddle
c9fb642d.wav,Violin_or_fiddle
078f7ac0.wav,Hi-hat
e897db78.wav,Hi-hat
b31ed1fb.wav,Hi-hat
06c48eab.wav,Hi-hat
2503aaa1.wav,Hi-hat
3d3439f1.wav,Hi-hat
34a90030.wav,Hi-hat
da4b0379.wav,Hi-hat
a090c45a.wav,Hi-hat
41897c32.wav,Hi-hat
2032be87.wav,Hi-hat
73677128.wav,Hi-hat
c53a217e.wav,Hi-hat
f0dfe343.wav,Hi-hat
0ed06544.wav,Hi-hat
99c96a07.wav,Hi-hat
3a3d0279.wav,Hi-hat
612702c3.wav,Hi-hat
d6854eb4.wav,Hi-hat
52300f9b.wav,Hi-hat
09a1cfd7.wav,Hi-hat
3aafb6ad.wav,Hi-hat
493c247b.wav,Hi-hat
5ec7ad26.wav,Hi-hat
a1b369d7.wav,Hi-hat
8cd809d3.wav,Hi-hat
aed9d22f.wav,Hi-hat
a7964699.wav,Hi-hat
da3f8050.wav,Hi-hat
468f9c4c.wav,Hi-hat
229be2be.wav,Snare_drum
b6cbc6a9.wav,Snare_drum
ae7d1c37.wav,Snare_drum
82d4fb44.wav,Snare_drum
4c590f69.wav,Snare_drum
1c9a423f.wav,Snare_drum
f0727eac.wav,Snare_drum
31db8c5e.wav,Snare_drum
b86b5a96.wav,Snare_drum
6fca680b.wav,Snare_drum
1bc8eae1.wav,Snare_drum
46b52f97.wav,Snare_drum
0c67f402.wav,Snare_drum
c8ecbbfd.wav,Snare_drum
9f84ea5a.wav,Snare_drum
e4958adc.wav,Snare_drum
5ce40b1b.wav,Snare_drum
9d308738.wav,Snare_drum
1e3391d5.wav,Snare_drum
ff3f21e7.wav,Snare_drum
b68f10af.wav,Snare_drum
e8e00924.wav,Snare_drum
22e1c02c.wav,Snare_drum
5c33d972.wav,Snare_drum
9320c55f.wav,Snare_drum
f1754aea.wav,Snare_drum
b218444c.wav,Snare_drum
36d06cc0.wav,Snare_drum
4c4d4797.wav,Snare_drum
cae0d841.wav,Snare_drum
17f82c05.wav,Acoustic_guitar
0eeaebcb.wav,Acoustic_guitar
e92bf0fa.wav,Acoustic_guitar
10da16fb.wav,Acoustic_guitar
a25423a8.wav,Acoustic_guitar
16c9a838.wav,Acoustic_guitar
70ca9c77.wav,Acoustic_guitar
38216fad.wav,Acoustic_guitar
d8a257e5.wav,Acoustic_guitar
7506dcc4.wav,Acoustic_guitar
a6728901.wav,Acoustic_guitar
b88322f6.wav,Acoustic_guitar
35039ae1.wav,Acoustic_guitar
236cbab1.wav,Acoustic_guitar
0356dec7.wav,Acoustic_guitar
bb1f5874.wav,Acoustic_guitar
34747922.wav,Acoustic_guitar
44fb3eeb.wav,Acoustic_guitar
367ad7b1.wav,Acoustic_guitar
160c92d7.wav,Acoustic_guitar
2016d256.wav,Acoustic_guitar
fc55d588.wav,Acoustic_guitar
c7846d27.wav,Acoustic_guitar
55822aae.wav,Acoustic_guitar
9923ddf8.wav,Acoustic_guitar
32dee61b.wav,Acoustic_guitar
fa4d4a92.wav,Acoustic_guitar
8da75280.wav,Acoustic_guitar
b2261238.wav,Acoustic_guitar
673defaf.wav,Acoustic_guitar
e6597186.wav,Double_bass
fcfafbc8.wav,Double_bass
444f9db5.wav,Double_bass
19893aa8.wav,Double_bass
f042282c.wav,Double_bass
95e1d0ae.wav,Double_bass
595c191d.wav,Double_bass
8073923c.wav,Double_bass
6efbaf90.wav,Double_bass
642ad7e4.wav,Double_bass
5eadbc6d.wav,Double_bass
1a7d3f2d.wav,Double_bass
13da16ae.wav,Double_bass
103f29e5.wav,Double_bass
da8ea649.wav,Double_bass
ca348cbb.wav,Double_bass
8ce2e863.wav,Double_bass
462b676f.wav,Double_bass
b428466c.wav,Double_bass
4fd883bb.wav,Double_bass
2ac8b94f.wav,Double_bass
c840804f.wav,Double_bass
f63f3703.wav,Double_bass
c0ddf010.wav,Double_bass
a0cbe92e.wav,Double_bass
4fb480bf.wav,Double_bass
9dd0141c.wav,Double_bass
deb87700.wav,Double_bass
e0ecd1a6.wav,Double_bass
0286fc27.wav,Double_bass
e2d993ec.wav,Cello
0091fc7f.wav,Cello
e55c5160.wav,Cello
a59b5a08.wav,Cello
88500b88.wav,Cello
743ae0f9.wav,Cello
9e3bc1b6.wav,Cello
3e2bddda.wav,Cello
d328db67.wav,Cello
7d896090.wav,Cello
4bff8f32.wav,Cello
5e5bca7a.wav,Cello
811bf309.wav,Cello
5689818f.wav,Cello
81d9f077.wav,Cello
00353774.wav,Cello
6a210ffa.wav,Cello
e97d9707.wav,Cello
238b16a5.wav,Cello
dc5be9d7.wav,Cello
f9653de8.wav,Cello
31dbc5c0.wav,Cello
cbc8d551.wav,Cello
195f544d.wav,Cello
22bea889.wav,Cello
ab8e8ae3.wav,Cello
e70c41d4.wav,Cello
125e6ccf.wav,Cello
2da9e12a.wav,Cello
34e4d187.wav,Cello
52e54bdd.wav,Bass_drum
6d21ad67.wav,Bass_drum
ca3f3698.wav,Bass_drum
aa9ae956.wav,Bass_drum
0ddb4bdf.wav,Bass_drum
921eee9d.wav,Bass_drum
c153f347.wav,Bass_drum
63e0ab2c.wav,Bass_drum
88780eac.wav,Bass_drum
bea51ca5.wav,Bass_drum
f26131d8.wav,Bass_drum
ce75b5ce.wav,Bass_drum
565f3ee2.wav,Bass_drum
ff11628d.wav,Bass_drum
cdfc8967.wav,Bass_drum
f8a99b37.wav,Bass_drum
809ea09e.wav,Bass_drum
03fc1f96.wav,Bass_drum
8b6a16de.wav,Bass_drum
7dda9dc2.wav,Bass_drum
3a9085ca.wav,Bass_drum
4ba2b70e.wav,Bass_drum
01c2f88b.wav,Bass_drum
ce3f3400.wav,Bass_drum
6a96272b.wav,Bass_drum
9adffd44.wav,Bass_drum
7d11b3b4.wav,Bass_drum
bab98261.wav,Bass_drum
c11bacda.wav,Bass_drum
9a4bfb69.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_00.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_01.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_02.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_03.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_04.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_05.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_06.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_07.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_08.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_09.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_10.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_11.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_12.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_13.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_14.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_15.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_16.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_17.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_18.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_19.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_20.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_21.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_22.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_23.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_24.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_25.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_26.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_27.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_28.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_29.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_30.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_31.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_32.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_33.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_34.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_35.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_36.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_37.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_38.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_39.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_40.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_41.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_42.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_43.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_44.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_45.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_46.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_47.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_48.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_49.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_50.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_51.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_52.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_53.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_54.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_55.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_56.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_57.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_58.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_59.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_60.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_61.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_62.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_63.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_64.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_65.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_66.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_67.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_68.wav,Bass_drum
WhatsApp Audio 2020-06-29 at 6.29.19 PM_69.wav,Bass_drum
18865530.wav,Flute
9f6eac9c.wav,Flute
07db7f16.wav,Flute
dc6676ff.wav,Flute
3eaddda8.wav,Flute
1b93aeba.wav,Flute
c683f28f.wav,Flute
55d52a69.wav,Flute
ca8653d2.wav,Flute
6b27a847.wav,Flute
4bcc8a77.wav,Flute
84f5b84b.wav,Flute
5d73ee6f.wav,Flute
5d040c3b.wav,Flute
6a037ddf.wav,Flute
35e97db3.wav,Flute
d14f5df1.wav,Flute
9f522cda.wav,Flute
fe76c972.wav,Flute
562d93f5.wav,Flute
fa32109e.wav,Flute
b4b2b68d.wav,Flute
af227d6f.wav,Flute
85d6a7d2.wav,Flute
3707da71.wav,Flute
61c914b1.wav,Flute
f5e20dce.wav,Flute
b0d9849d.wav,Flute
6ef82473.wav,Flute
8986cced.wav,Flute
a64a3740.wav,Clarinet
ad7ec8cb.wav,Clarinet
8ee44fb5.wav,Clarinet
7eb959ec.wav,Clarinet
e51e1770.wav,Clarinet
3f7e6da8.wav,Clarinet
3cbe9902.wav,Clarinet
9a722e53.wav,Clarinet
19105b8a.wav,Clarinet
1f81cc2b.wav,Clarinet
44c5094c.wav,Clarinet
5506629f.wav,Clarinet
ddf23920.wav,Clarinet
2e1cd085.wav,Clarinet
dc981a38.wav,Clarinet
a053797b.wav,Clarinet
f2310f0d.wav,Clarinet
ce65d6b5.wav,Clarinet
45de3233.wav,Clarinet
8916ffcd.wav,Clarinet
e43f7db2.wav,Clarinet
3c66098d.wav,Clarinet
ad42e493.wav,Clarinet
740e5bb7.wav,Clarinet
800b401e.wav,Clarinet
3c713bcf.wav,Clarinet
2fc00271.wav,Clarinet
b0c06255.wav,Clarinet
71c6451f.wav,Clarinet
5de123c3.wav,Clarinet
Classic Clarinet Solo Classical Music_00.wav,Clarinet
Classic Clarinet Solo Classical Music_01.wav,Clarinet
Classic Clarinet Solo Classical Music_02.wav,Clarinet
Classic Clarinet Solo Classical Music_03.wav,Clarinet
Classic Clarinet Solo Classical Music_04.wav,Clarinet
Classic Clarinet Solo Classical Music_05.wav,Clarinet
